Z	X	Y	W	E	S	A	N	I
1	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0.001	1	0.001	0.25	0.11	0.001	0.001	0.001	1
0.001	0.001	1	0.11	0.25	0.001	1	0.25	0.001
0.001	0.25	0.11	1	0.25	0.001	0.06	0.001	0.001
0.001	0.11	0.25	0.25	1	0.001	0.11	0.06	0.001
0.001	0.001	0.001	0.001	0.001	1	0.001	0.001	0.001
0.001	0.001	1	0.06	0.11	0.001	1	0.25	0.11
0.001	0.001	0.25	0.001	0.06	0.001	0.25	1	0.06
0.001	1	0.001	0.001	0.001	0.001	0.11	0.06	1

Z	X	Y	W	E	S	A	N	I
1	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0.001	1	1	0.001	0.001	1	0.001	0.001	1
0.001	0.001	1	0.001	0.001	1	0.001	0.001	1
0.001	0.001	0.001	1	1	0.001	0.001	1	0.001
0.001	0.001	0.001	1	1	0.001	0.001	1	0.001
0.001	0.001	0.001	0.001	0.001	1	0.001	0.001	1
0.001	0.001	0.001	0.001	0.001	0.001	1	0.001	1
0.001	0.001	0.001	1	1	0.001	0.001	1	0.001
0.001	1	0.001	0.001	0.001	0.001	1	0.001	1

Z	X	Y	W	E	S	A	N	I
1	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0.001	1	1	0.001	0.001	1	0.001	0.001	1
0.001	1	1	0.001	0.001	1	0.001	0.001	1
0.001	0.001	0.001	1	1	0.001	0.001	1	0.001
0.001	0.001	0.001	1	1	0.001	0.001	1	0.001
0.001	1	1	0.001	0.001	1	0.001	0.001	1
0.001	0.001	0.001	0.001	0.001	0.001	1	0.001	1
0.001	0.001	0.001	1	1	0.001	0.001	1	0.001
0.001	1	1	0.001	0.001	1	1	0.001	1

Z	X	Y	W	E	S	A	N	I
1	1	1	0.001	0.001	1	1	0.001	1
1	1	1	0.001	0.001	1	1	0.001	1
1	1	1	0.001	0.001	1	1	0.001	1
0.001	0.001	0.001	1	1	0.001	0.001	0.001	0.001
0.001	0.001	0.001	1	1	0.001	0.001	0.001	0.001
1	1	1	0.001	0.001	1	1	0.001	1
1	1	1	0.001	0.001	1	1	0.001	1
0.001	0.001	0.001	0.001	0.001	0.001	0.001	1	0.001
1	1	1	0.001	0.001	1	1	0.001	1

