Protoglobicephala_mexicana	10	
Pseudorca_crassidens	10	
Pterocetus_benguelae	10	
Pterophocaena_nishinoi	10	
Rodhocetus_kasranii	10	
Salishicetus_meadi	10	
Salumiphocaena_stocktoni	10	
Scaldiporia_vandokkumi	10	
Scaphokogia_cochlearis	10	
Semirostrum_ceruttii	10	
Septemtriocetus_bosselaersi	10	
Simocetus_rayi	10	
Sitsqwayk_cornishorum	01	
Sotalia_fluviatilis	10	
Sousa_chinensis	10	
Squalodon_calvertensis	10	
Squaloziphius_emlongi	10	
Stenella_attenuata	10	
Stenella_coeruleoalba	10	
Stenella_longirostris	10	
Steno_bredanensis	10	
Tagicetus_joneti	10	
Thinocetus_arthritus	10	
Tiphyocetus_temblorensis	10	
Tokarahia_kauaeroa	10	
Tokarahia_lophocephalus	01	
Tursiops_truncatus	10	
Tusciziphius_atlanticus	10	
Tusciziphius_crispus	10	
Uranocetus_gramensis	01	
Waharoa_ruwhenua	10	
Waipatia_hectori	10	
Waipatia_maerewhenua	10	
Wimahl_chinookensis	10	
Xenorophus_sloanii	10	
Xhosacetus_hendeysi	10	
Yamatocetus_canaliculatus	10	
Yaquinacetus_meadi	10	
Zarhachis_flagellator	10	
Zarhinocetus_errabundus	10	
Ziphirostrum_marginatum	10	
Ziphius_cavirostris	10	
Zygophyseter_varolai	01	
