L->L,L	S->S,S
1	24	198
2	22	200
3	24	198
4	24	198
5	22	200
6	23	199
7	23	199
8	23	199
9	27	195
10	22	200
11	24	198
12	24	198
13	21	201
14	22	200
15	24	198
16	21	201
17	26	196
18	22	200
19	22	200
20	23	199
21	22	200
22	22	200
23	25	197
24	23	199
25	24	198
26	24	198
27	22	200
28	23	199
29	24	198
30	22	200
31	22	200
32	27	195
33	23	199
34	24	198
35	22	200
36	22	200
37	27	195
38	25	197
39	24	198
40	27	195
41	22	200
42	26	196
43	22	200
44	23	199
45	23	199
46	23	199
47	24	198
48	23	199
49	22	200
50	24	198
