"protIDs_not_found"	"genome_names_not_found"
"46"	"AEI88825.1"	"GCF_000691605.1_ASM69160v1"
"47"	"ACL96805.1"	"GCF_000691605.1_ASM69160v1"
"48"	"ADE86923.1"	"GCF_000691605.1_ASM69160v1"
"49"	"ABA05973.1"	"GCF_000691605.1_ASM69160v1"
"50"	"AIK95558.1"	"GCF_000691605.1_ASM69160v1"
"51"	"AAG04358.1"	"GCF_000691605.1_ASM69160v1"
"52"	"AAC73831.1"	"GCF_000691605.1_ASM69160v1"
"53"	"ACF11057.1"	"GCF_000691605.1_ASM69160v1"
"54"	"ACD89825.1"	"GCF_000691605.1_ASM69160v1"
"55"	"ACF44367.1"	"GCF_000691605.1_ASM69160v1"
"56"	"AHZ85825.1"	"GCF_000691605.1_ASM69160v1"
"57"	"ABF91581.1"	"GCF_000691605.1_ASM69160v1"
"58"	"AFL88606.1"	"GCF_000691605.1_ASM69160v1"
"59"	"ACI22061.1"	"GCF_000691605.1_ASM69160v1"
"60"	"AKF24510.1"	"GCF_000691605.1_ASM69160v1"
"61"	"AUX24210.1"	"GCF_000691605.1_ASM69160v1"
"62"	"ABF92421.1"	"GCF_000691605.1_ASM69160v1"
"63"	"ACO31817.1"	"GCF_000691605.1_ASM69160v1"
"64"	"AUX23472.1"	"GCF_000691605.1_ASM69160v1"
"65"	"ABF92363.1"	"GCF_000691605.1_ASM69160v1"
"66"	"ACL67494.1"	"GCF_000691605.1_ASM69160v1"
"67"	"AUX20279.1"	"GCF_000691605.1_ASM69160v1"
"68"	"ALA60092.1"	"GCF_000691605.1_ASM69160v1"
"69"	"ACL64950.1"	"GCF_000691605.1_ASM69160v1"
"70"	"AHZ86092.1"	"GCF_000691605.1_ASM69160v1"
"71"	"ABF90492.1"	"GCF_000691605.1_ASM69160v1"
"72"	"ACB76604.1"	"GCF_000691605.1_ASM69160v1"
"73"	"ADD67695.1"	"GCF_000691605.1_ASM69160v1"
"74"	"AHE95642.1"	"GCF_000691605.1_ASM69160v1"
"75"	"ADO46046.1"	"GCF_000691605.1_ASM69160v1"
"76"	"BAC89328.1"	"GCF_000691605.1_ASM69160v1"
"77"	"ADG92738.1"	"GCF_000691605.1_ASM69160v1"
"78"	"ADG92304.1"	"GCF_000691605.1_ASM69160v1"
"79"	"ADY58081.1"	"GCF_000691605.1_ASM69160v1"
"80"	"QDU25322.1"	"GCF_000691605.1_ASM69160v1"
"81"	"QDU98188.1"	"GCF_000691605.1_ASM69160v1"
"82"	"AHE96346.1"	"GCF_000691605.1_ASM69160v1"
"83"	"QDU98468.1"	"GCF_000691605.1_ASM69160v1"
"84"	"ADY61978.1"	"GCF_000691605.1_ASM69160v1"
"85"	"QDU93364.1"	"GCF_000691605.1_ASM69160v1"
"86"	"QDU25761.1"	"GCF_000691605.1_ASM69160v1"
"87"	"CCG56832.1"	"GCF_000691605.1_ASM69160v1"
"88"	"AAG06371.1"	"GCF_000691605.1_ASM69160v1"
"89"	"ADD67874.1"	"GCF_000691605.1_ASM69160v1"
"90"	"ADD67745.1"	"GCF_000691605.1_ASM69160v1"
"91"	"ACX75330.1"	"GCF_000691605.1_ASM69160v1"
"92"	"ADG92231.1"	"GCF_000691605.1_ASM69160v1"
"93"	"ADV63710.1"	"GCF_000691605.1_ASM69160v1"
"94"	"ADY58078.1"	"GCF_000691605.1_ASM69160v1"
"95"	"QDU27583.1"	"GCF_000691605.1_ASM69160v1"
"96"	"ADB17385.1"	"GCF_000691605.1_ASM69160v1"
"97"	"ACB77180.1"	"GCF_000691605.1_ASM69160v1"
"98"	"ADD67744.1"	"GCF_000691605.1_ASM69160v1"
"99"	"ADD68376.1"	"GCF_000691605.1_ASM69160v1"
"100"	"ADG92230.1"	"GCF_000691605.1_ASM69160v1"
"101"	"AGR80198.1"	"GCF_000691605.1_ASM69160v1"
"102"	"AKF25943.1"	"GCF_000691605.1_ASM69160v1"
"103"	"ADG93510.1"	"GCF_000691605.1_ASM69160v1"
"104"	"ACF14374.1"	"GCF_000691605.1_ASM69160v1"
"105"	"AUX22204.1"	"GCF_000691605.1_ASM69160v1"
"106"	"ABF87376.1"	"GCF_000691605.1_ASM69160v1"
"107"	"AHZ86042.1"	"GCF_000691605.1_ASM69160v1"
"108"	"AHZ84904.1"	"GCF_000691605.1_ASM69160v1"
"109"	"AHZ84037.1"	"GCF_000691605.1_ASM69160v1"
"110"	"AHZ86892.1"	"GCF_000691605.1_ASM69160v1"
"111"	"AUX22205.1"	"GCF_000691605.1_ASM69160v1"
"112"	"ACL67782.1"	"GCF_000691605.1_ASM69160v1"
"113"	"ABF90777.1"	"GCF_000691605.1_ASM69160v1"
"114"	"ADD67609.1"	"GCF_000691605.1_ASM69160v1"
"115"	"ADV63892.1"	"GCF_000691605.1_ASM69160v1"
"116"	"ADV63187.1"	"GCF_000691605.1_ASM69160v1"
"117"	"ADB16663.1"	"GCF_000691605.1_ASM69160v1"
"118"	"QDU30851.1"	"GCF_000691605.1_ASM69160v1"
"119"	"CAD77369.1"	"GCF_000691605.1_ASM69160v1"
"120"	"QDU99088.1"	"GCF_000691605.1_ASM69160v1"
"121"	"QDU29130.1"	"GCF_000691605.1_ASM69160v1"
"122"	"ADD68377.1"	"GCF_000691605.1_ASM69160v1"
"123"	"CAD71937.1"	"GCF_000691605.1_ASM69160v1"
"124"	"ADY58376.1"	"GCF_000691605.1_ASM69160v1"
"125"	"AUX23532.1"	"GCF_000691605.1_ASM69160v1"
"126"	"QDU92956.1"	"GCF_000691605.1_ASM69160v1"
"127"	"QDU31292.1"	"GCF_000691605.1_ASM69160v1"
"128"	"ADB17458.1"	"GCF_000691605.1_ASM69160v1"
"129"	"ACB73533.1"	"GCF_000691605.1_ASM69160v1"
