"protIDs_not_found"	"genome_names_not_found"
"1"	"ADG94140.1"	"GCF_000691605.1_ASM69160v1"
"2"	"ADN09321.1"	"GCF_000691605.1_ASM69160v1"
"3"	"ADD67090.1"	"GCF_000691605.1_ASM69160v1"
"4"	"EKT88755.1"	"GCF_000691605.1_ASM69160v1"
"5"	"AHE95900.1"	"GCF_000691605.1_ASM69160v1"
"6"	"AFL88814.1"	"GCF_000691605.1_ASM69160v1"
"7"	"ACO33277.1"	"GCF_000691605.1_ASM69160v1"
"8"	"AAG04849.1"	"GCF_000691605.1_ASM69160v1"
"9"	"ACI21187.1"	"GCF_000691605.1_ASM69160v1"
"10"	"AHZ85791.1"	"GCF_000691605.1_ASM69160v1"
"11"	"ADY60068.1"	"GCF_000691605.1_ASM69160v1"
"12"	"QDU97593.1"	"GCF_000691605.1_ASM69160v1"
"13"	"BAD41956.1"	"GCF_000691605.1_ASM69160v1"
"14"	"ABY95376.1"	"GCF_000691605.1_ASM69160v1"
"15"	"ACL22206.1"	"GCF_000691605.1_ASM69160v1"
"16"	"EKT86693.1"	"GCF_000691605.1_ASM69160v1"
"17"	"CCG57546.1"	"GCF_000691605.1_ASM69160v1"
"18"	"AEM21069.1"	"GCF_000691605.1_ASM69160v1"
"19"	"AJJ56783.1"	"GCF_000691605.1_ASM69160v1"
"20"	"AHZ83632.1"	"GCF_000691605.1_ASM69160v1"
"21"	"AMW06484.1"	"GCF_000691605.1_ASM69160v1"
"22"	"QDU25289.1"	"GCF_000691605.1_ASM69160v1"
"23"	"AAG08339.1"	"GCF_000691605.1_ASM69160v1"
"24"	"ACI21445.1"	"GCF_000691605.1_ASM69160v1"
"25"	"AIK95837.1"	"GCF_000691605.1_ASM69160v1"
"26"	"ABA05996.1"	"GCF_000691605.1_ASM69160v1"
"27"	"AHZ83417.1"	"GCF_000691605.1_ASM69160v1"
"28"	"CAD77532.1"	"GCF_000691605.1_ASM69160v1"
"29"	"AEV99079.1"	"GCF_000691605.1_ASM69160v1"
"30"	"AAG05312.1"	"GCF_000691605.1_ASM69160v1"
"31"	"AHZ86390.1"	"GCF_000691605.1_ASM69160v1"
"32"	"AUX27689.1"	"GCF_000691605.1_ASM69160v1"
"33"	"QDU31046.1"	"GCF_000691605.1_ASM69160v1"
"34"	"ADY61197.1"	"GCF_000691605.1_ASM69160v1"
"35"	"CAD71788.1"	"GCF_000691605.1_ASM69160v1"
"36"	"QDU95463.1"	"GCF_000691605.1_ASM69160v1"
"37"	"QDU27457.1"	"GCF_000691605.1_ASM69160v1"
"38"	"ACF14782.1"	"GCF_000691605.1_ASM69160v1"
"39"	"ABL64659.1"	"GCF_000691605.1_ASM69160v1"
"40"	"ACF11913.1"	"GCF_000691605.1_ASM69160v1"
"41"	"AEW03299.1"	"GCF_000691605.1_ASM69160v1"
"42"	"ADL01024.1"	"GCF_000691605.1_ASM69160v1"
"43"	"ACL95886.1"	"GCF_000691605.1_ASM69160v1"
"44"	"ABA04528.1"	"GCF_000691605.1_ASM69160v1"
"45"	"ABA05299.1"	"GCF_000691605.1_ASM69160v1"
